route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"701",1520_SO,1520_39570,"Wzgórza Krzesławickie",,0,SO_701-03_34,896807,0,0
"701",1521_SO,1521_10899,"Wzgórza Krzesławickie",,0,SO_701-03_34,898667,0,0
"701",1520_SO,1520_39575,"Czyżyny Dworzec",,0,SO_701-03_35,896806,0,0
"701",1521_SO,1521_10901,"Czyżyny Dworzec",,0,SO_701-03_35,898666,0,0
"701",1520_SO,1520_39577,"Wzgórza Krzesławickie",,0,SO_701-03_36,896807,0,0
"701",1521_SO,1521_10903,"Wzgórza Krzesławickie",,0,SO_701-03_36,898667,0,0
"701",1520_SO,1520_39581,"Czyżyny Dworzec",,0,SO_701-03_37,896806,0,0
"701",1521_SO,1521_10904,"Czyżyny Dworzec",,0,SO_701-03_37,898666,0,0
"736",1520_SO,1520_38249,"Os. Pod Fortem",,0,SO_736-01_2,897505,0,0
"736",1521_SO,1521_10288,"Os. Pod Fortem",,0,SO_736-01_2,899904,0,0
"736",1520_SO,1520_38253,"Czerwone Maki P+R",,1,SO_736-01_3,897506,0,0
"736",1521_SO,1521_10291,"Czerwone Maki P+R",,1,SO_736-01_3,899905,0,0
"736",1520_SO,1520_38257,"Os. Pod Fortem",,0,SO_736-01_4,897505,0,0
"736",1521_SO,1521_10293,"Os. Pod Fortem",,0,SO_736-01_4,899904,0,0
"736",1520_SO,1520_38261,"Czerwone Maki P+R",,1,SO_736-01_5,897506,0,0
"736",1521_SO,1521_10294,"Czerwone Maki P+R",,1,SO_736-01_5,899905,0,0
"736",1520_SO,1520_38265,"Os. Pod Fortem",,0,SO_736-01_6,897505,0,0
"736",1521_SO,1521_10296,"Os. Pod Fortem",,0,SO_736-01_6,899904,0,0
"736",1520_SO,1520_38269,"Czerwone Maki P+R",,1,SO_736-01_7,897506,0,0
"736",1521_SO,1521_10297,"Czerwone Maki P+R",,1,SO_736-01_7,899905,0,0
"736",1520_SO,1520_38276,"Os. Pod Fortem",,0,SO_736-01_8,897505,0,0
"736",1521_SO,1521_10299,"Os. Pod Fortem",,0,SO_736-01_8,899904,0,0
"736",1520_SO,1520_38280,"Czerwone Maki P+R",,1,SO_736-01_9,897506,0,0
"736",1521_SO,1521_10301,"Czerwone Maki P+R",,1,SO_736-01_9,899905,0,0
"736",1520_SO,1520_38282,"Os. Pod Fortem",,0,SO_736-01_10,897505,0,0
"736",1521_SO,1521_10303,"Os. Pod Fortem",,0,SO_736-01_10,899904,0,0
"736",1520_SO,1520_38286,"Czerwone Maki P+R",,1,SO_736-01_11,897506,0,0
"736",1521_SO,1521_10305,"Czerwone Maki P+R",,1,SO_736-01_11,899905,0,0
"736",1520_SO,1520_38289,"Os. Pod Fortem",,0,SO_736-01_12,897505,0,0
"736",1521_SO,1521_10307,"Os. Pod Fortem",,0,SO_736-01_12,899904,0,0
"736",1520_SO,1520_38293,"Czerwone Maki P+R",,1,SO_736-01_13,897506,0,0
"736",1521_SO,1521_10309,"Czerwone Maki P+R",,1,SO_736-01_13,899905,0,0
"736",1520_SO,1520_38297,"Os. Pod Fortem",,0,SO_736-01_14,897505,0,0
"736",1521_SO,1521_10312,"Os. Pod Fortem",,0,SO_736-01_14,899904,0,0
"736",1520_SO,1520_38301,"Czerwone Maki P+R",,1,SO_736-01_15,897506,0,0
"736",1521_SO,1521_10314,"Czerwone Maki P+R",,1,SO_736-01_15,899905,0,0
"736",1520_SO,1520_38305,"Os. Pod Fortem",,0,SO_736-01_16,897505,0,0
"736",1521_SO,1521_10316,"Os. Pod Fortem",,0,SO_736-01_16,899904,0,0
"736",1520_SO,1520_38309,"Czerwone Maki P+R",,1,SO_736-01_17,897506,0,0
"736",1521_SO,1521_10318,"Czerwone Maki P+R",,1,SO_736-01_17,899905,0,0
"736",1520_SO,1520_38313,"Os. Pod Fortem",,0,SO_736-01_18,897505,0,0
"736",1521_SO,1521_10319,"Os. Pod Fortem",,0,SO_736-01_18,899904,0,0
"736",1520_SO,1520_38317,"Czerwone Maki P+R",,1,SO_736-01_19,897506,0,0
"736",1521_SO,1521_10322,"Czerwone Maki P+R",,1,SO_736-01_19,899905,0,0
"736",1520_SO,1520_38321,"Os. Pod Fortem",,0,SO_736-01_20,897505,0,0
"736",1521_SO,1521_10324,"Os. Pod Fortem",,0,SO_736-01_20,899904,0,0
"736",1520_SO,1520_38326,"Czerwone Maki P+R",,1,SO_736-01_21,897506,0,0
"736",1521_SO,1521_10325,"Czerwone Maki P+R",,1,SO_736-01_21,899905,0,0
"736",1520_SO,1520_38329,"Os. Pod Fortem",,0,SO_736-01_22,897505,0,0
"736",1521_SO,1521_10328,"Os. Pod Fortem",,0,SO_736-01_22,899904,0,0
"736",1520_SO,1520_38336,"Czerwone Maki P+R",,1,SO_736-01_23,897506,0,0
"736",1521_SO,1521_10330,"Czerwone Maki P+R",,1,SO_736-01_23,899905,0,0
"736",1520_SO,1520_38340,"Os. Pod Fortem",,0,SO_736-01_24,897505,0,0
"736",1521_SO,1521_10332,"Os. Pod Fortem",,0,SO_736-01_24,899904,0,0
"736",1520_SO,1520_38343,"Czerwone Maki P+R",,1,SO_736-01_25,897506,0,0
"736",1521_SO,1521_10334,"Czerwone Maki P+R",,1,SO_736-01_25,899905,0,0
"736",1520_SO,1520_38346,"Os. Pod Fortem",,0,SO_736-01_26,897505,0,0
"736",1521_SO,1521_10336,"Os. Pod Fortem",,0,SO_736-01_26,899904,0,0
"736",1520_SO,1520_38351,"Czerwone Maki P+R",,1,SO_736-01_27,897506,0,0
"736",1521_SO,1521_10338,"Czerwone Maki P+R",,1,SO_736-01_27,899905,0,0
"736",1520_SO,1520_38355,"Os. Pod Fortem",,0,SO_736-01_28,897505,0,0
"736",1521_SO,1521_10340,"Os. Pod Fortem",,0,SO_736-01_28,899904,0,0
"736",1520_SO,1520_38358,"Czerwone Maki P+R",,1,SO_736-01_29,897506,0,0
"736",1521_SO,1521_10343,"Czerwone Maki P+R",,1,SO_736-01_29,899905,0,0
"736",1520_SO,1520_38362,"Os. Pod Fortem",,0,SO_736-01_30,897505,0,0
"736",1521_SO,1521_10345,"Os. Pod Fortem",,0,SO_736-01_30,899904,0,0
"736",1520_SO,1520_38365,"Czerwone Maki P+R",,1,SO_736-01_31,897506,0,0
"736",1521_SO,1521_10347,"Czerwone Maki P+R",,1,SO_736-01_31,899905,0,0
"736",1520_SO,1520_38372,"Os. Pod Fortem",,0,SO_736-01_32,897505,0,0
"736",1521_SO,1521_10350,"Os. Pod Fortem",,0,SO_736-01_32,899904,0,0
"736",1520_SO,1520_38376,"Czerwone Maki P+R",,1,SO_736-01_33,897506,0,0
"736",1521_SO,1521_10351,"Czerwone Maki P+R",,1,SO_736-01_33,899905,0,0
"736",1520_SO,1520_38380,"Os. Pod Fortem",,0,SO_736-01_34,897505,0,0
"736",1521_SO,1521_10354,"Os. Pod Fortem",,0,SO_736-01_34,899904,0,0
"736",1520_SO,1520_38384,"Czerwone Maki P+R",,1,SO_736-01_35,897506,0,0
"736",1521_SO,1521_10355,"Czerwone Maki P+R",,1,SO_736-01_35,899905,0,0
"736",1520_SO,1520_38388,"Os. Pod Fortem",,0,SO_736-01_36,897505,0,0
"736",1521_SO,1521_10358,"Os. Pod Fortem",,0,SO_736-01_36,899904,0,0
"736",1520_SO,1520_38392,"Czerwone Maki P+R",,1,SO_736-01_37,897506,0,0
"736",1521_SO,1521_10360,"Czerwone Maki P+R",,1,SO_736-01_37,899905,0,0
"736",1520_SO,1520_38396,"Os. Pod Fortem",,0,SO_736-01_38,897505,0,0
"736",1521_SO,1521_10362,"Os. Pod Fortem",,0,SO_736-01_38,899904,0,0
"736",1520_SO,1520_38400,"Czerwone Maki P+R",,1,SO_736-01_39,897506,0,0
"736",1521_SO,1521_10363,"Czerwone Maki P+R",,1,SO_736-01_39,899905,0,0
"736",1520_SO,1520_38404,"Os. Pod Fortem",,0,SO_736-01_40,897505,0,0
"736",1521_SO,1521_10365,"Os. Pod Fortem",,0,SO_736-01_40,899904,0,0
"736",1520_SO,1520_38409,"Czerwone Maki P+R",,1,SO_736-01_41,897506,0,0
"736",1521_SO,1521_10368,"Czerwone Maki P+R",,1,SO_736-01_41,899905,0,0
"736",1520_SO,1520_38414,"Os. Pod Fortem",,0,SO_736-01_42,897505,0,0
"736",1521_SO,1521_10370,"Os. Pod Fortem",,0,SO_736-01_42,899904,0,0
"736",1520_SO,1520_38417,"Czerwone Maki P+R",,1,SO_736-01_43,897506,0,0
"736",1521_SO,1521_10372,"Czerwone Maki P+R",,1,SO_736-01_43,899905,0,0
"736",1520_SO,1520_38422,"Os. Pod Fortem",,0,SO_736-01_44,897505,0,0
"736",1521_SO,1521_10374,"Os. Pod Fortem",,0,SO_736-01_44,899904,0,0
"736",1520_SO,1520_38425,"Czerwone Maki P+R",,1,SO_736-01_45,897506,0,0
"736",1521_SO,1521_10377,"Czerwone Maki P+R",,1,SO_736-01_45,899905,0,0
"736",1520_SO,1520_38430,"Os. Pod Fortem",,0,SO_736-01_46,897505,0,0
"736",1521_SO,1521_10380,"Os. Pod Fortem",,0,SO_736-01_46,899904,0,0
"736",1520_SO,1520_38059,"Czerwone Maki P+R",,1,SO_736-02_2,897506,0,0
"736",1521_SO,1521_9853,"Czerwone Maki P+R",,1,SO_736-02_2,899905,0,0
"736",1520_SO,1520_38062,"Os. Pod Fortem",,0,SO_736-02_3,897505,0,0
"736",1521_SO,1521_9854,"Os. Pod Fortem",,0,SO_736-02_3,899904,0,0
"736",1520_SO,1520_38067,"Czerwone Maki P+R",,1,SO_736-02_4,897506,0,0
"736",1521_SO,1521_9855,"Czerwone Maki P+R",,1,SO_736-02_4,899905,0,0
"736",1520_SO,1520_38070,"Os. Pod Fortem",,0,SO_736-02_5,897505,0,0
"736",1521_SO,1521_9856,"Os. Pod Fortem",,0,SO_736-02_5,899904,0,0
"736",1520_SO,1520_38075,"Czerwone Maki P+R",,1,SO_736-02_6,897506,0,0
"736",1521_SO,1521_9857,"Czerwone Maki P+R",,1,SO_736-02_6,899905,0,0
"736",1520_SO,1520_38078,"Os. Pod Fortem",,0,SO_736-02_7,897505,0,0
"736",1521_SO,1521_9858,"Os. Pod Fortem",,0,SO_736-02_7,899904,0,0
"736",1520_SO,1520_38082,"Czerwone Maki P+R",,1,SO_736-02_8,897506,0,0
